Source.Name,Timestamp,Vehicle,Protocol,Short Term Fuel Trim Bank 1 (STFT),Long Term Fuel Trim Bank 1 (LTFT),Calculated Engine Load,Engine RPM,Vehicle Speed,Throttle Position (TPS),Intake Manifold Pressure (MAP)
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:29.106,Honda Brio 2015,ATSP0,-7.03 %,14.06 %,29 %,1053 RPM,14 km/h,16 %,31 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:30.561,Honda Brio 2015,ATSP0,-8.59 %,14.06 %,24 %,1259 RPM,8 km/h,16 %,28 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:32.021,Honda Brio 2015,ATSP0,-6.25 %,14.06 %,21 %,1266 RPM,2 km/h,18 %,37 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:33.467,Honda Brio 2015,ATSP0,-10.94 %,13.28 %,32 %,1072 RPM,1 km/h,17 %,37 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:34.935,Honda Brio 2015,ATSP0,-3.91 %,14.06 %,32 %,941 RPM,2 km/h,16 %,37 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:36.450,Honda Brio 2015,ATSP0,-4.69 %,14.06 %,33 %,880 RPM,2 km/h,19 %,64 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:37.918,Honda Brio 2015,ATSP0,-4.69 %,13.28 %,87 %,548 RPM,2 km/h,20 %,59 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:39.419,Honda Brio 2015,ATSP0,-4.69 %,13.28 %,65 %,1071 RPM,4 km/h,17 %,36 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:40.849,Honda Brio 2015,ATSP0,-2.34 %,13.28 %,27 %,1100 RPM,2 km/h,20 %,87 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:42.304,Honda Brio 2015,ATSP0,-3.13 %,13.28 %,83 %,536 RPM,8 km/h,19 %,92 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:43.831,Honda Brio 2015,ATSP0,-7.03 %,11.72 %,98 %,839 RPM,12 km/h,59 %,100 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:45.356,Honda Brio 2015,ATSP0,0.00 %,11.72 %,98 %,1365 RPM,19 km/h,79 %,100 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:46.935,Honda Brio 2015,ATSP0,0.00 %,12.50 %,21 %,1530 RPM,23 km/h,22 %,60 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:48.535,Honda Brio 2015,ATSP0,0.00 %,12.50 %,47 %,1104 RPM,22 km/h,26 %,98 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:50.054,Honda Brio 2015,ATSP0,-3.91 %,11.72 %,98 %,1245 RPM,27 km/h,79 %,100 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:51.620,Honda Brio 2015,ATSP0,-0.78 %,11.72 %,98 %,1524 RPM,32 km/h,79 %,100 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:53.097,Honda Brio 2015,ATSP0,2.34 %,10.94 %,99 %,1772 RPM,37 km/h,79 %,100 kPa
